[19-02-2019 20:41:50] - SN:ZAGBBA190802QXJ;ZAGBBA190802QXK, MODELO:TG1692A-SMT
[19-02-2019 20:45:56] - SN:ZAGBBA190802QXL;ZAGBBA190802QXM, MODELO:TG1692A-SMT
[19-02-2019 20:46:07] - SN:ZAGBBA190802QXN;ZAGBBA190802QXP, MODELO:TG1692A-SMT
[19-02-2019 20:46:35] - SN:ZAGBBA190802QXQ;ZAGBBA190802QXR, MODELO:TG1692A-SMT
[19-02-2019 20:47:36] - SN:ZAGBBA190802QXS;ZAGBBA190802QXT, MODELO:TG1692A-SMT
[19-02-2019 20:47:51] - SN:ZAGBBA190802QXU;ZAGBBA190802QXV, MODELO:TG1692A-SMT
[19-02-2019 20:47:59] - SN:ZAGBBA190802QXW;ZAGBBA190802QXX, MODELO:TG1692A-SMT
[19-02-2019 20:48:13] - SN:ZAGBBA190802QXY;ZAGBBA190802QXZ, MODELO:TG1692A-SMT
[19-02-2019 20:48:17] - SN:ZAGBBA190802QY0;ZAGBBA190802QY1, MODELO:TG1692A-SMT
[19-02-2019 20:48:40] - SN:ZAGBBA190802QY2;ZAGBBA190802QY3, MODELO:TG1692A-SMT
[19-02-2019 20:48:55] - SN:ZAGBBA190802QY4;ZAGBBA190802QY5, MODELO:TG1692A-SMT
[19-02-2019 20:49:14] - SN:ZAGBBA190802QY6;ZAGBBA190802QY7, MODELO:TG1692A-SMT
[19-02-2019 20:49:20] - SN:ZAGBBA190802QY8;ZAGBBA190802QY9, MODELO:TG1692A-SMT
[19-02-2019 20:49:38] - SN:ZAGBBA190802QYA;ZAGBBA190802QYB, MODELO:TG1692A-SMT
[19-02-2019 20:50:00] - SN:ZAGBBA190802QYC;ZAGBBA190802QYD, MODELO:TG1692A-SMT
[19-02-2019 20:50:12] - SN:ZAGBBA190802QYE;ZAGBBA190802QYF, MODELO:TG1692A-SMT
[19-02-2019 20:50:20] - SN:ZAGBBA190802QYG;ZAGBBA190802QYH, MODELO:TG1692A-SMT
[19-02-2019 21:06:18] - SN:XME9659010019598, MODELO:E965
[19-02-2019 21:07:18] - SN:XME9659010019599, MODELO:E965
[19-02-2019 21:08:29] - SN:XME9659010019600, MODELO:E965
[19-02-2019 21:08:46] - SN:XME9659010019601, MODELO:E965
[19-02-2019 21:08:46] - SN:XME9659010019602, MODELO:E965
[19-02-2019 21:09:39] - SN:XME9659010019603, MODELO:E965
[19-02-2019 21:09:39] - SN:XME9659010019604, MODELO:E965
[19-02-2019 21:11:18] - SN:XME9659010040860, MODELO:E965
[19-02-2019 21:11:18] - SN:XME9659010040861, MODELO:E965
[19-02-2019 21:11:43] - SN:XME9659010040862, MODELO:E965
[19-02-2019 21:11:43] - SN:XME9659010040863, MODELO:E965
[19-02-2019 21:11:59] - SN:XME9659010040864, MODELO:E965
[19-02-2019 21:12:00] - SN:XME9659010040865, MODELO:E965
[19-02-2019 21:12:14] - SN:XME9659010040866, MODELO:E965
[19-02-2019 21:12:14] - SN:XME9659010040867, MODELO:E965
[19-02-2019 21:12:35] - SN:XME9659010040868, MODELO:E965
[19-02-2019 21:12:35] - SN:XME9659010040869, MODELO:E965
[19-02-2019 21:12:45] - SN:XME9659010040870, MODELO:E965
[19-02-2019 21:12:45] - SN:XME9659010040871, MODELO:E965
[19-02-2019 21:13:00] - SN:XME9659010040872, MODELO:E965
[19-02-2019 21:13:00] - SN:XME9659010040873, MODELO:E965
[19-02-2019 21:13:32] - SN:XME9659010040871, MODELO:E965
[19-02-2019 21:13:32] - SN:XME9659010040872, MODELO:E965
[19-02-2019 21:14:20] - SN:XME9659010040871, MODELO:E965
[19-02-2019 21:14:20] - SN:XME9659010040872, MODELO:E965
[19-02-2019 21:14:30] - SN:XME9659010040873, MODELO:E965
[19-02-2019 21:14:30] - SN:XME9659010040874, MODELO:E965
[19-02-2019 21:14:53] - SN:XME9659010040874, MODELO:E965
[19-02-2019 21:14:53] - SN:XME9659010040875, MODELO:E965
[19-02-2019 21:15:10] - SN:XME9659010040876, MODELO:E965
[19-02-2019 21:15:10] - SN:XME9659010040877, MODELO:E965
[19-02-2019 21:15:44] - SN:XME9659010040877, MODELO:E965
[19-02-2019 21:15:45] - SN:XME9659010040878, MODELO:E965
[19-02-2019 21:15:56] - SN:XME9659010040879, MODELO:E965
[19-02-2019 21:15:56] - SN:XME9659010040880, MODELO:E965
[19-02-2019 21:16:27] - SN:XME9659010040880, MODELO:E965
[19-02-2019 21:17:03] - SN:XME9659010040881, MODELO:E965
[19-02-2019 21:17:03] - SN:XME9659010040882, MODELO:E965
[19-02-2019 21:17:26] - SN:XME9659010040882, MODELO:E965
[19-02-2019 21:17:27] - SN:XME9659010040883, MODELO:E965
[19-02-2019 21:18:08] - SN:XME9659010040882, MODELO:E965
[19-02-2019 21:18:08] - SN:XME9659010040883, MODELO:E965
[19-02-2019 21:21:57] - SN:XME9659010040883, MODELO:E965
[19-02-2019 21:21:57] - SN:XME9659010040884, MODELO:E965
[19-02-2019 21:22:51] - SN:XME9659010040883, MODELO:E965
[19-02-2019 21:22:51] - SN:XME9659010040884, MODELO:E965
[19-02-2019 21:24:03] - SN:XME9659010040882, MODELO:E965
[19-02-2019 21:24:03] - SN:XME9659010040883, MODELO:E965
[19-02-2019 21:24:03] - SN:XME9659010040884, MODELO:E965
[19-02-2019 21:24:03] - SN:XME9659010040885, MODELO:E965
[19-02-2019 21:24:26] - SN:XME9659010040886, MODELO:E965
[19-02-2019 21:24:26] - SN:XME9659010040887, MODELO:E965
[19-02-2019 21:24:26] - SN:XME9659010040888, MODELO:E965
[19-02-2019 21:24:26] - SN:XME9659010040889, MODELO:E965
[11-03-2019 17:07:03] - SN:ZABRBA19110032C;ZABRBA19110032D, MODELO:TG1692BR-SMT
[11-03-2019 18:10:28] - SN:ZABRBA19110032E;ZABRBA19110032F, MODELO:TG1692BR-SMT
[11-03-2019 18:19:20] - SN:ZABRBA19110032G;ZABRBA19110032H, MODELO:TG1692BR-SMT
[11-03-2019 18:23:08] - SN:ZABRBA19110032J;ZABRBA19110032K, MODELO:TG1692BR-SMT
[11-03-2019 18:23:40] - SN:ZABRBA19110032L;ZABRBA19110032M, MODELO:TG1692BR-SMT
[11-03-2019 18:24:39] - SN:ZABRBA19110032N;ZABRBA19110032P, MODELO:TG1692BR-SMT
[11-03-2019 18:26:44] - SN:ZABRBA19110032Q;ZABRBA19110032R, MODELO:TG1692BR-SMT
[11-03-2019 21:14:59] - SN:ZABRBA19110032S;ZABRBA19110032T, MODELO:TG1692BR-SMT
[11-03-2019 21:15:19] - SN:ZABRBA19110032U;ZABRBA19110032V, MODELO:TG1692BR-SMT
[11-03-2019 21:17:45] - SN:ZABRBA19110032W;ZABRBA19110032X, MODELO:TG1692BR-SMT
[11-03-2019 21:18:40] - SN:ZABRBA19110032Y;ZABRBA19110032Z, MODELO:TG1692BR-SMT
[11-03-2019 21:51:47] - SN:ZABRBA191100330;ZABRBA191100331, MODELO:TG1692BR-SMT
[11-03-2019 21:52:16] - SN:ZABRBA191100332;ZABRBA191100333, MODELO:TG1692BR-SMT
[11-03-2019 22:02:31] - SN:93B2B2576500001, MODELO:TG1692BR
[11-03-2019 22:02:31] - SN:93B2B2576500002, MODELO:TG1692BR
[11-03-2019 22:03:43] - SN:ZABRBA191100334;ZABRBA191100335, MODELO:TG1692BR-SMT
[11-03-2019 22:05:38] - SN:ZABRBA191100336;ZABRBA191100337, MODELO:TG1692BR-SMT
[11-03-2019 22:08:43] - SN:ZABRBA191100338;ZABRBA191100339, MODELO:TG1692BR-SMT
[11-03-2019 22:09:16] - SN:ZABRBA19110033A;ZABRBA19110033B, MODELO:TG1692BR-SMT
[11-03-2019 22:10:11] - SN:ZABRBA19110033C;ZABRBA19110033D, MODELO:TG1692BR-SMT
[11-03-2019 22:10:50] - SN:ZABRBA19110033E;ZABRBA19110033F, MODELO:TG1692BR-SMT
[11-03-2019 22:15:27] - SN:ZABRBA19110033G;ZABRBA19110033H, MODELO:TG1692BR-SMT
[11-03-2019 22:16:55] - SN:ZABRBA19110033J;ZABRBA19110033K, MODELO:TG1692BR-SMT
[11-03-2019 22:29:32] - SN:ZABRBA19110033L;ZABRBA19110033M, MODELO:TG1692BR-SMT
[11-03-2019 22:32:22] - SN:ZABRBA19110033N;ZABRBA19110033P, MODELO:TG1692BR-SMT
